"workerid","rt","trial_type","story","trial_num","target","experimentResults","missing","n_data","condition","frequency","treatment","query","distribution","category","response","unit"
0,16132,"causals","animal make sleepy",0,"makes CATEGORY sleepy","[85, u'?', 75, 15, 75, 10, 90, 90, 80, 10, 20]",1,10,"listener",-99,"herb","make the animals sleepy","weak_or_strong","wugs",0.91,"animals"
1,34399,"causals","animal make sleepy",0,"makes CATEGORY sleepy","[75, 0, 65, 0, 80, 90, 0, 0, u'?', 80, 90]",8,10,"listener",-99,"herb","make the animals sleepy","rare_strong","feps",0,"animals"
2,37214,"causals","animal make sleepy",0,"makes CATEGORY sleepy","[0, 0, 100, 100, 0, 0, 100, 0, u'?', 0, 100]",8,10,"listener",-99,"herb","make the animals sleepy","rare_deterministic","ackles",1,"animals"
3,76188,"causals","animal make sleepy",0,"makes CATEGORY sleepy","[75, 65, u'?', 65, 75, 80, 90, 80, 75, 80, 90]",2,10,"listener",-99,"herb","make the animals sleepy","common_strong","glippets",0.74,"animals"
4,120975,"causals","animal make sleepy",0,"makes CATEGORY sleepy","[10, u'?', 20, 15, 10, 15, 20, 10, 10, 15, 20]",1,10,"listener",-99,"herb","make the animals sleepy","common_weak","glippets",0.07,"animals"
5,57919,"causals","rocks dissolve",0,"makes CATEGORY dissolve","[85, 75, 15, 75, 10, 90, 90, 80, u'?', 10, 20]",8,10,"listener",-99,"compound","make the rocks dissolve","weak_or_strong","ollers",0.9,"rocks"
6,109759,"causals","animal make sleepy",0,"makes CATEGORY sleepy","[0, 20, 0, 10, 0, 0, 15, 0, u'?', 20, 0]",8,10,"listener",-99,"herb","make the animals sleepy","rare_weak","javs",0.1,"animals"
7,70880,"causals","rocks dissolve",0,"makes CATEGORY dissolve","[10, 20, 15, u'?', 10, 15, 20, 10, 10, 15, 20]",3,10,"listener",-99,"compound","make the rocks dissolve","common_weak","thups",0.26,"rocks"
8,70820,"causals","animal make sleepy",0,"makes CATEGORY sleepy","[75, 0, 65, u'?', 0, 80, 90, 0, 0, 80, 90]",3,10,"listener",-99,"herb","make the animals sleepy","rare_strong","zoovs",0.83,"animals"
9,71616,"causals","animal make sleepy",0,"makes CATEGORY sleepy","[10, 20, 15, u'?', 10, 15, 20, 10, 10, 15, 20]",3,10,"listener",-99,"herb","make the animals sleepy","common_weak","pangolins",0.15,"animals"
