"action","-2","-1.5","-1","-0.5","0","0.5","1","1.5","2","2.5","3","3.5","4","4.5","5","5.5","6","6.5","7","7.5","8","8.5","9"
"climbs mountains",194,5,1,1,11,5,0,2,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0
"drinks beer",83,1,0,0,1,2,0,1,1,7,6,4,24,27,23,20,6,2,0,0,0,0,0
"drinks coffee",70,0,0,0,1,0,0,0,0,1,0,1,1,6,9,19,90,22,3,1,0,0,0
"eats caviar",200,7,6,0,13,1,3,7,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0
"eats peanut butter",67,0,0,0,0,0,1,0,0,27,19,13,64,27,37,16,8,1,0,0,0,0,0
"goes to the ballet",233,10,2,1,9,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"goes to the movies",52,0,0,0,14,10,8,10,2,63,32,3,16,4,2,0,0,0,0,0,0,0,0
"hikes",109,1,0,0,36,22,3,10,6,27,11,7,6,3,0,0,0,0,0,0,0,0,0
"listens to live music",80,0,0,0,18,20,6,10,1,17,7,1,8,4,3,1,0,0,3,5,0,0,0
"listens to Pandora",169,3,0,0,2,0,0,0,0,8,3,4,13,12,11,34,21,4,2,1,2,0,0
"plays tennis",186,3,1,0,3,3,1,3,2,8,5,1,16,3,3,1,0,0,0,0,0,0,0
"plays the banjo",200,2,2,0,1,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0
"runs",95,0,0,0,0,0,0,0,0,3,5,3,2,15,11,10,9,0,0,0,0,0,0
"sells things on eBay",162,8,3,2,12,10,7,11,3,11,1,4,3,2,1,0,0,0,0,0,0,1,0
"sells companies",186,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"smokes cigarettes",156,1,0,0,0,1,0,1,2,2,1,1,0,1,2,3,5,4,7,4,3,6,3
"volunteers for political campaigns",205,19,0,1,5,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"volunteers for soup kitchens",208,5,1,0,12,1,2,8,1,5,1,0,6,0,0,0,0,0,0,0,0,0,0
"watches professional football",91,8,0,0,7,2,2,8,5,16,5,1,35,11,7,10,0,0,0,0,0,0,0
"watches space launches",161,37,2,0,20,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"wears a bra",160,0,0,0,0,0,0,0,0,0,0,0,0,3,1,16,109,0,0,0,0,0,0
"wears a suit",123,1,0,0,7,7,0,4,1,4,1,0,11,5,4,19,8,0,0,0,0,0,0
"wears a watch",81,0,0,0,0,0,0,0,0,0,2,1,4,3,4,23,43,0,0,0,0,0,0
"wears slacks",90,0,0,0,0,0,0,0,0,7,1,1,26,11,17,45,26,0,0,0,0,0,0
"wears socks",9,0,0,0,0,0,0,0,0,0,0,0,4,4,5,27,127,0,0,0,0,0,0
"writes novels",218,5,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"writes poems",197,6,1,1,11,6,5,4,0,6,4,1,1,1,0,0,0,0,0,0,0,0,0
